,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
32,Raudeberg,75,NO,1586195086,87,61.99,5.14,51.8,23.04
33,Esperance,90,AU,1586195086,82,-33.87,121.9,60.8,9.17
34,Pevek,63,RU,1586195086,86,69.7,170.31,-6.23,11.92
35,Bluff,97,NZ,1586195087,93,-46.6,168.33,53.01,5.88
36,Codrington,100,AU,1586195065,70,-38.27,141.97,51.85,2.44
37,Mollendo,13,PE,1586195087,69,-17.02,-72.01,75.42,9.44
38,Bilibino,55,RU,1586195087,77,68.05,166.44,-9.81,1.5
39,Taber,90,CA,1586194938,92,49.82,-112.15,28.4,11.41
40,Faanui,11,PF,1586195087,76,-16.48,-151.75,82.8,12.35
41,Samarai,69,PG,1586195014,80,-10.62,150.67,78.44,10.94
42,Baghdad,100,IQ,1586195015,41,33.34,44.4,77,14.99
43,Bocas del Toro,100,PA,1586195088,42,9.33,-82.25,79,11.01
44,Hithadhoo,7,MV,1586194917,65,-0.6,73.08,83.86,1.05
45,Wronki,0,PL,1586195088,27,52.71,16.38,62.6,5.82
46,Atuona,8,PF,1586194967,76,-9.8,-139.03,81.66,14.9
47,Kavaratti,43,IN,1586195089,71,10.57,72.64,84.7,8.41
48,Fukuechō,98,JP,1586195089,49,32.69,128.84,56.5,9.91
49,Padang,100,ID,1586195089,79,-0.95,100.35,76.15,3.51
50,Lagoa,91,PT,1586195089,88,39.05,-27.98,61.9,19.42
51,Jamestown,1,US,1586195009,45,42.1,-79.24,57.99,4.7
52,Cockburn Town,1,TC,1586195090,63,21.46,-71.14,76.93,7.34
53,Longyearbyen,40,SJ,1586195027,65,78.22,15.64,6.8,11.41
54,Kapaa,90,US,1586195090,94,22.08,-159.32,73.4,3.36
55,Nikolskoye,90,RU,1586195090,86,59.7,30.79,36,4.47
56,Aklavik,75,CA,1586195090,39,68.22,-135.01,28.4,6.93
57,Port Hardy,75,CA,1586195091,70,50.7,-127.42,44.6,4.7
58,Bredasdorp,77,ZA,1586195091,54,-34.53,20.04,57.2,10.29
59,Hobart,15,AU,1586195091,81,-42.88,147.33,44.6,6.93
60,Severo-Kuril'sk,96,RU,1586195091,90,50.68,156.12,33.62,30.33
61,Daru,16,PG,1586195091,80,-9.08,143.21,77.63,6.85
62,Tūkrah,1,LY,1586195091,69,32.53,20.58,58.78,6.51
63,Vestmannaeyjar,20,IS,1586195014,86,63.44,-20.27,33.8,35.57
64,San Antonio,90,US,1586194830,88,29.42,-98.49,75.99,3.36
65,Mogadishu,41,SO,1586194858,75,2.04,45.34,83.14,18.41
66,Kumul,23,CN,1586195092,22,42.8,93.45,58.03,4.43
67,Sauda,64,NO,1586195092,97,59.65,6.35,46,3
68,Geraldton,11,AU,1586195093,88,-28.77,114.6,64.4,9.17
69,Hermanus,63,ZA,1586195093,73,-34.42,19.23,55,4
70,Rocha,43,UY,1586195093,43,-34.48,-54.33,64.42,23.13
71,Kamina,92,CD,1586195093,71,-8.74,24.99,66.61,2.04
72,Zaragoza,75,ES,1586194960,82,41.66,-0.88,60.8,4.7
73,Narón,100,ES,1586195094,63,43.52,-8.15,62.01,3.36
74,Hasaki,75,JP,1586195094,80,35.73,140.83,41,1.12
75,Nālūt,0,LY,1586195094,20,30.33,10.85,67.26,9.06
76,Pangnirtung,75,CA,1586195094,71,66.15,-65.71,8.6,4.7
77,Saint-Philippe,68,RE,1586195049,78,-21.36,55.77,77,5.82
78,Moroto,84,UG,1586195095,34,2.53,34.67,76.37,14.34
79,Cape Town,75,ZA,1586194802,54,-33.93,18.42,59,4.7
80,Hong Kong,40,HK,1586194938,88,22.29,114.16,64.4,8.05
81,Butaritari,94,KI,1586195095,74,3.07,172.79,82.17,3.49
82,Westport,1,US,1586194928,26,41.14,-73.36,63,8.05
83,Vila Velha,75,BR,1586195086,69,-20.33,-40.29,82,10.29
84,Cidreira,100,BR,1586195096,86,-30.18,-50.21,69.39,7.05
85,Nha Trang,40,VN,1586195096,81,12.25,109.18,75.43,3.96
86,Huntsville,1,US,1586195088,47,34.73,-86.59,80.01,6.93
87,Yerbogachën,28,RU,1586195096,93,61.28,108.01,25.45,4.56
88,George Town,20,MY,1586195097,88,5.41,100.34,84.2,3.36
89,Pisco,1,PE,1586195097,30,-13.7,-76.22,75,11.41
90,Maxixe,20,MZ,1586195097,88,-23.86,35.35,80.6,16.11
91,Provideniya,94,RU,1586195097,85,64.38,-173.3,-0.22,5.66
92,Seoul,1,KR,1586195098,75,37.57,126.98,44.6,3.89
93,Port Elizabeth,62,ZA,1586194873,77,-33.92,25.57,60.8,32.21
94,Narsaq,20,GL,1586195098,39,60.92,-46.05,28.4,9.17
95,Bathsheba,20,BB,1586195098,62,13.22,-59.52,87.8,14.99
96,Poya,99,NC,1586195098,80,-21.35,165.15,74.61,8.79
97,Aswān,0,EG,1586195099,12,24.09,32.91,90.32,11.88
98,Upernavik,0,GL,1586195099,89,72.79,-56.15,20.3,21.34
99,Ilulissat,40,GL,1586195099,57,69.22,-51.1,19.4,12.75
100,Krasnyy Chikoy,1,RU,1586195099,62,50.36,108.75,31.24,4.23
101,Sunrise Manor,75,US,1586195099,33,36.21,-115.07,64.99,10.29
102,Mar del Plata,75,AR,1586194950,58,-38,-57.56,60.01,17.22
103,Korla,21,CN,1586195100,29,41.76,86.15,57.99,1.01
104,Ribeira Grande,40,PT,1586195100,82,38.52,-28.7,66.2,10.29
105,Paracuru,40,BR,1586195101,62,-3.41,-39.03,89.6,12.75
106,Vaini,75,TO,1586195101,78,-21.2,-175.2,77,6.93
107,Leer,98,SS,1586195101,33,8.3,30.14,88.59,4.68
108,Olafsvik,70,IS,1586195102,91,64.89,-23.71,32.59,40.06
109,Bubaque,0,GW,1586195102,69,11.28,-15.83,80.02,16.82
110,Katsuura,45,JP,1586195102,57,35.13,140.3,51.8,12.75
111,Muisne,75,EC,1586195103,74,0.6,-80.03,84.2,4.7
112,Tiksi,0,RU,1586195103,86,71.69,128.87,-0.83,6.58
113,Esterhazy,100,CA,1586195103,77,50.65,-102.08,34.02,13.51
114,Kavieng,96,PG,1586195103,73,-2.57,150.8,82.81,6.38
115,Garoua,20,CM,1586195104,26,9.3,13.4,104,9.17
116,Pangody,99,RU,1586195104,98,65.85,74.49,27.84,8.72
117,Thompson,90,CA,1586195104,72,55.74,-97.86,17.6,6.93
118,Saldanha,78,ZA,1586195104,82,-33.01,17.94,57.2,6.93
119,Hilo,75,US,1586195031,83,19.73,-155.09,71.6,4.7
120,Arraial do Cabo,1,BR,1586195105,69,-22.97,-42.03,80.6,17.22
121,Oodweyne,51,SO,1586195105,34,9.41,45.06,80.28,8.23
122,Poum,92,NC,1586195105,76,-20.23,164.02,78.66,9.35
123,Cabedelo,40,BR,1586195106,70,-6.98,-34.83,89.6,12.75
124,Mehamn,100,NO,1586195106,68,71.04,27.85,30.2,21.92
125,Perepravnaya,1,RU,1586195106,61,44.34,40.78,36.45,3.85
126,Saint-Agapit,20,CA,1586195106,48,46.56,-71.44,42.8,13.87
127,Bandarbeyla,0,SO,1586195107,68,9.49,50.81,80.62,11.23
128,São Filipe,0,CV,1586195006,71,14.9,-24.5,74.01,14.99
129,Lüderitz,27,NA,1586195107,68,-26.65,15.16,64.4,17.22
130,Arinos,85,BR,1586195108,59,-15.92,-46.11,84.97,2.62
131,Omboué,95,GA,1586195108,88,-1.57,9.26,79.18,1.66
132,Bengkulu,100,ID,1586195108,88,-3.8,102.27,76.14,7.96
133,Vila Franca do Campo,75,PT,1586195108,93,37.72,-25.43,64.4,10.29
134,Virginia Beach,40,US,1586194958,59,36.85,-75.98,73.4,12.75
135,Pemangkat,98,ID,1586195109,86,1.17,108.97,78.33,4.65
136,Chui,18,UY,1586195109,57,-33.7,-53.46,68.79,21.63
137,Carnarvon,12,AU,1586195109,83,-24.87,113.63,73.4,13.87
138,Polokwane,0,ZA,1586195109,33,-23.9,29.47,77,1.12
139,Rāpar,0,IN,1586195110,41,23.57,70.63,83.1,13.06
140,Nelson Bay,40,AU,1586195110,87,-32.72,152.15,66.99,9.17
141,Iquique,6,CL,1586195110,57,-20.22,-70.14,75.2,20.8
142,Port Moresby,40,PG,1586195111,100,-9.44,147.18,75.2,5.82
143,Mataura,100,NZ,1586195111,93,-46.19,168.86,53.01,1.57
144,Biak,94,ID,1586195111,76,-0.91,122.88,78.26,0.78
145,Kidal,0,ML,1586195111,7,18.44,1.41,93.63,8.16
146,Palmas,40,BR,1586195111,59,-10.21,-48.36,91.4,9.17
147,Wagar,41,SD,1586195112,22,16.15,36.2,94.12,12.46
148,Vaitape,12,PF,1586195112,76,-16.52,-151.75,83.64,12.33
149,Acajutla,2,SV,1586195112,67,13.59,-89.83,86,4
150,Bermeo,75,ES,1586195112,87,43.42,-2.72,55.99,3.36
151,Ozernovskiy,100,RU,1586195113,90,51.5,156.52,32.77,17.05
152,Lyubech,2,UA,1586195113,56,51.7,30.66,44.91,2.8
153,Bosobolo,47,CD,1586195113,71,4.18,19.9,78.01,2.15
154,Qaanaaq,14,GL,1586195113,79,77.48,-69.36,10.06,1.81
155,Visnes,75,NO,1586195113,93,59.36,5.22,46.99,14.99
156,Whitianga,96,NZ,1586195107,82,-36.83,175.7,55,2.35
157,Cabo San Lucas,90,MX,1586194970,26,22.89,-109.91,82.4,8.05
158,Bonavista,100,CA,1586195114,78,48.65,-53.11,35.01,11.99
159,Kruisfontein,96,ZA,1586195114,75,-34,24.73,54.95,24.9
160,Dubti,0,ET,1586195114,31,11.74,41.09,91.99,13.78
161,Pangoa,27,PE,1586195115,34,-12.12,-73,91.56,3.6
162,Bull Savanna,59,JM,1586195115,47,17.89,-77.59,85.82,5.82
163,Ginir,42,ET,1586195115,38,7.13,40.7,62.49,1.43
164,Sembakung,77,ID,1586195115,90,3.82,117.25,75.06,1.77
165,Barrow,90,US,1586195116,85,71.29,-156.79,10.4,14.99
166,Vitim,8,RU,1586195116,95,59.45,112.56,24.87,4.05
167,Clyde River,20,CA,1586195116,72,70.47,-68.59,14,38.03
168,Dikson,98,RU,1586195116,97,73.51,80.55,8.78,8.95
169,Newport,6,GB,1586194833,57,51.59,-3,57.99,13.87
170,Itarema,98,BR,1586195117,85,-2.92,-39.92,80.26,10.69
171,Kirundo Province,75,BI,1586195117,78,-2.58,30.17,71.6,5.82
172,North Platte,90,US,1586195118,81,41.12,-100.77,51.8,4.27
173,Kramat,97,ID,1586195118,75,-8.13,113.45,77.27,1.21
174,Husavik,75,IS,1586195118,60,66.04,-17.34,39.2,47.2
175,Fort-Shevchenko,18,KZ,1586195118,56,44.51,50.26,44.58,33.49
176,Haines Junction,98,CA,1586195119,86,60.75,-137.51,24.06,6.33
177,Comodoro Rivadavia,0,AR,1586194962,36,-45.87,-67.5,60.8,10.29
178,Te Anau,86,NZ,1586195119,77,-45.42,167.72,54.25,5.44
179,Biankouma,44,CI,1586195119,69,7.74,-7.61,79.72,3.51
180,Flinders,90,AU,1586195119,82,-34.58,150.86,62.01,5.82
181,Chokurdakh,90,RU,1586195120,92,70.63,147.92,-1.34,10.33
182,Erdenet,97,MN,1586195120,46,49.03,104.08,34.77,10.65
183,Basco,46,PH,1586195120,84,20.45,121.97,75.69,8.37
184,Tuktoyaktuk,90,CA,1586195120,92,69.45,-133.04,23,20.8
185,Guerrero Negro,80,MX,1586195120,56,27.98,-114.06,63.48,10.63
186,Faya,20,SA,1586195121,40,18.39,42.45,71.6,11.41
187,Norton Shores,90,US,1586195121,62,43.17,-86.26,60.01,11.41
188,Smolenskaya Oblast’,97,RU,1586195121,86,55,33,39.97,5.17
189,Sola,100,VU,1586195121,80,-13.88,167.55,83.07,31.88
190,Srednekolymsk,78,RU,1586195121,93,67.45,153.68,11.23,14.58
191,Tasiilaq,75,GL,1586195122,92,65.61,-37.64,26.6,3.36
192,Santa Cruz de la Sierra,75,BO,1586195076,66,-17.8,-63.17,87.8,8.05
193,Ucluelet,75,CA,1586195109,70,48.93,-125.55,48.99,3.69
194,Morondava,0,MG,1586195122,77,-20.28,44.28,78.44,2.62
195,Coahuayana Viejo,5,MX,1586195122,34,18.73,-103.68,82.4,7.02
196,Iberia,1,US,1586195123,61,29.95,-91.75,80.01,11.41
197,Cururupu,97,BR,1586195123,77,-1.83,-44.87,84.74,8.32
198,Atbasar,74,KZ,1586195123,70,51.8,68.33,41.32,9.42
199,College,90,US,1586195123,72,64.86,-147.8,15.8,14.99
200,Ponta Delgada,75,PT,1586195123,93,37.73,-25.67,64.4,10.29
201,Dali,0,CN,1586195037,29,25.7,100.18,47.57,3.83
202,Mananara,13,MG,1586195124,79,-16.17,49.77,77.77,5.1
203,Provost,100,CA,1586195124,92,52.35,-110.27,24.4,11.79
204,Lata,75,PT,1586195124,87,40.16,-8.33,66.99,14.99
205,Tezu,37,IN,1586195125,32,27.92,96.17,70.92,4.03
206,Zhangaözen,70,KZ,1586195125,55,43.3,52.8,41.29,21.03
207,Jasper,90,US,1586194971,68,37.2,-94.35,69.01,23.04
208,Opuwo,83,NA,1586195125,33,-18.06,13.84,75.63,2.15
209,Constitución,0,CL,1586195067,32,-35.33,-72.42,67.35,15.55
210,Lompoc,75,US,1586195126,71,34.64,-120.46,57,6.93
211,Abu Kamal,80,SY,1586195126,34,34.45,40.92,71.15,10.25
212,Saint-Pierre,20,RE,1586195127,83,-21.34,55.48,77,4.7
213,Aksarka,100,RU,1586195127,97,66.56,67.8,21.18,11.95
214,Namatanai,90,PG,1586195127,75,-3.67,152.43,81.48,9.51
215,Cherskiy,100,RU,1586195127,94,68.75,161.3,4.66,12.28
216,Nabire,100,ID,1586195127,90,-3.37,135.48,74.91,3.06
217,Kalamnūri,61,IN,1586195128,29,19.67,77.33,85.89,6.13
218,Khandyga,21,RU,1586195128,90,62.67,135.6,4.84,2.46
219,Calbuco,0,CL,1586195128,54,-41.77,-73.13,55.4,12.75
220,Turaif,75,SA,1586195128,27,31.67,38.66,73.4,13.87
221,Aykhal,15,RU,1586195129,63,66,111.5,26.6,6.71
222,Manokwari,99,ID,1586195129,74,-0.87,134.08,79.56,6.42
223,Sozimskiy,38,RU,1586195129,93,59.74,52.25,24.21,6.04
224,Nome,75,US,1586195072,84,64.5,-165.41,1.99,20.8
225,Bougouni,0,ML,1586195130,7,11.42,-7.48,104.36,4.56
226,Harper,8,LR,1586195130,78,4.38,-7.72,84.51,8.59
227,Baillif,75,GP,1586195130,62,16.02,-61.75,86,11.41
228,Port Lincoln,84,AU,1586195130,73,-34.73,135.87,61.63,6.04
229,Uruguaiana,20,BR,1586195131,54,-29.75,-57.09,80.6,19.46
230,Simga,8,IN,1586195131,20,21.63,81.7,88.34,3.78
231,Portland,75,US,1586195131,70,45.52,-122.68,54,1.81
232,Ancud,20,CL,1586195131,58,-41.87,-73.82,55.4,5.82
233,Touros,20,BR,1586195131,59,-5.2,-35.46,89.6,11.41
234,Ponta do Sol,20,PT,1586195132,77,32.67,-17.1,69.8,11.41
235,Gejiu,27,CN,1586195132,56,23.31,103.16,51.1,3.89
236,Kupang,77,ID,1586195132,76,-10.17,123.58,82.04,6.38
237,Norman Wells,40,CA,1586195132,66,65.28,-126.83,15.8,3.36
238,Fairbanks,90,US,1586194881,78,64.84,-147.72,15.8,19.46
239,Charleston,1,US,1586195133,53,32.78,-79.93,81,11.41
240,Anamur,58,TR,1586195082,78,36.08,32.84,61.93,7.05
241,Port-Gentil,92,GA,1586195133,81,-0.72,8.78,82.29,6.49
242,Volot,91,RU,1586195133,93,57.93,30.7,35.94,1.99
243,Kaitangata,93,NZ,1586195133,87,-46.28,169.85,57,7.85
244,Aras,75,ES,1586195134,93,42.56,-2.36,53.01,9.17
245,Kutum,28,SD,1586195134,9,14.2,24.67,76.03,6.89
246,Soverato Marina,75,IT,1586195134,67,38.69,16.55,57.2,8.05
247,Sisimiut,60,GL,1586195134,83,66.94,-53.67,17.08,6.17
248,Los Llanos de Aridane,75,ES,1586195134,73,28.66,-17.92,71.6,3.36
249,Petropavlovsk-Kamchatskiy,74,RU,1586194873,73,53.05,158.65,23,6.71
250,Matadi,78,CD,1586195135,80,-5.82,13.45,81.59,4.83
251,Saint-Paul,50,RE,1586195002,73,-21.01,55.27,77,13.87
252,Naze,100,JP,1586195135,87,28.37,129.48,59,1.12
253,Imbituba,75,BR,1586195135,65,-28.24,-48.67,77,11.41
254,Pallasovka,83,RU,1586195136,72,50.05,46.88,35.83,17.74
255,Berlevåg,100,NO,1586195136,73,70.86,29.09,24.8,12.75
256,Laguna,20,US,1586195136,76,38.42,-121.42,54,6.93
257,Maniitsoq,66,GL,1586195136,85,65.42,-52.9,21.2,2.51
258,Quatre Cocos,40,MU,1586195137,78,-20.21,57.76,79,12.75
259,Arlit,0,NE,1586195137,7,18.74,7.39,95.34,9.19
260,Pergine Valsugana,0,IT,1586195137,53,46.06,11.24,71.6,3.36
261,Kampene,66,CD,1586195138,80,-3.6,26.67,71.58,2.73
262,Eyl,1,SO,1586195138,71,7.98,49.82,81.88,13.42
263,Ranot,45,TH,1586195138,80,7.78,100.32,81.77,5.79
264,Tuatapere,92,NZ,1586195138,93,-46.13,167.68,53.01,4.7
265,Invermere,56,CA,1586195138,65,50.52,-116.04,37,1.99
266,Cortland,1,US,1586195139,34,42.6,-76.08,55.99,6.93
267,Loma Bonita,40,PA,1586195139,70,8.38,-80.17,91.99,8.05
268,Castaños,77,MX,1586195140,57,26.78,-101.42,78.01,1.99
269,Marawi,34,PH,1586195140,70,8,124.29,67.08,2.48
270,Dingle,6,PH,1586195140,74,11,122.67,75.74,8.52
271,Zabul Province,37,AF,1586195141,29,32.25,67.25,48.7,10.92
272,Umeå,100,SE,1586195141,86,63.83,20.26,37.4,9.17
273,Mahibadhoo,1,MV,1586195141,67,3.78,72.97,84.97,7.34
274,Moose Factory,1,CA,1586195141,54,51.26,-80.61,30.2,11.41
275,Concarneau,9,FR,1586195142,67,47.88,-3.92,57.99,9.17
276,Flin Flon,90,CA,1586195142,68,54.77,-101.86,26.6,9.17
277,Stornoway,22,GB,1586195142,65,58.21,-6.39,46.4,20.8
278,Yar-Sale,92,RU,1586195142,98,66.83,70.83,22.24,2.44
279,Rawson,0,AR,1586195143,31,-43.3,-65.1,59.27,4.03
280,Nacala,3,MZ,1586195143,80,-14.54,40.67,77.65,6.46
281,Shache,71,CN,1586195114,19,38.42,77.24,59.38,6.33
282,Rio Pardo de Minas,84,BR,1586195143,58,-15.61,-42.54,78.75,6.49
283,Kaihua,68,CN,1586195143,58,23.37,104.28,57.81,4.52
284,Coyhaique,20,CL,1586195144,50,-45.58,-72.07,51.8,8.05
285,Hambantota,24,LK,1586195144,72,6.12,81.12,82.56,3.85
286,Kedrovyy,9,RU,1586195144,74,56.17,91.82,30.2,4.61
287,Todos Santos,90,MX,1586195144,23,23.45,-110.22,82.99,6.93
288,Matara,49,LK,1586195095,76,5.95,80.54,79.27,2.91
289,Saint George,20,US,1586195026,33,37.1,-113.58,64,10.29
290,Deniliquin,24,AU,1586195145,83,-35.53,144.97,48,3
291,Egvekinot,89,RU,1586195145,78,66.32,-179.17,-6.86,1.81
292,Assiut,0,EG,1586195143,24,27.18,31.18,76.66,17.25
293,Casas Grandes,100,MX,1586195146,18,30.37,-107.95,68.32,11.54
294,Teguise,20,ES,1586195146,53,29.06,-13.56,77,12.75
295,Adeje,75,ES,1586195146,77,28.12,-16.73,69.8,5.82
296,Guaíra,6,BR,1586195146,54,-20.32,-48.31,86.11,4.81
297,Albemarle,1,US,1586194997,47,35.35,-80.2,81,6.93
298,Nishihara,75,JP,1586195095,72,26.18,127.76,66.2,4.7
299,Balkanabat,67,TM,1586195147,59,39.51,54.37,58.42,18.1
300,Majene,98,ID,1586195147,84,-3.54,118.97,78.35,4.29
301,Zhengjiatun,0,CN,1586195147,65,43.51,123.51,36.12,7.87
302,Redding,90,US,1586195097,87,40.59,-122.39,50,4.7
303,Lavrentiya,100,RU,1586195148,85,65.58,-171,-0.47,4.81
304,Temir,100,KZ,1586195148,83,49.14,57.13,34.63,10.54
305,Chipinge,8,ZW,1586195148,43,-20.19,32.62,68.72,3.8
306,Okha,100,RU,1586195149,97,53.57,142.95,27.86,17.38
307,Palaia Fokaia,75,GR,1586195149,70,37.72,23.95,52,25.28
308,Benton Harbor,1,US,1586195149,44,42.12,-86.45,60.01,8.52
309,Meulaboh,100,ID,1586195149,89,4.14,96.13,76.55,3.8
310,Ishigaki,100,JP,1586195149,88,24.34,124.16,68.18,16.24
311,Mariental,3,NA,1586195150,11,-24.63,17.97,77.27,11.88
312,Lebu,0,CL,1586195150,47,-37.62,-73.65,59.25,21.47
313,Qaqortoq,20,GL,1586195150,39,60.72,-46.03,28.4,9.17
314,Port Hedland,40,AU,1586195076,88,-20.32,118.57,75.2,5.82
315,Chimbote,4,PE,1586195150,62,-9.09,-78.58,79.25,12.26
316,Eureka,20,US,1586195130,66,40.8,-124.16,54,6.51
317,Luau,95,AO,1586195151,66,-10.71,22.22,68.2,1.57
318,Coos Bay,90,US,1586194878,93,43.37,-124.22,48,8.05
319,Nemuro,52,JP,1586195151,89,43.32,145.57,34.39,12.12
320,Iqaluit,75,CA,1586195152,70,63.75,-68.51,-0.4,23.04
321,Douglas,90,US,1586194990,77,41.3,-96.17,64,12.75
322,Castro,71,BR,1586195152,38,-24.79,-50.01,82.27,8.03
323,Sabang,98,ID,1586195152,76,5.89,95.32,81.97,11.07
324,Peleduy,7,RU,1586195152,95,59.63,112.74,24.94,4.12
325,Athabasca,84,CA,1586195153,90,54.72,-113.29,24.6,5.19
326,Hofn,20,IS,1586195153,69,64.25,-15.21,39.2,24.16
327,La Ronge,90,CA,1586195153,79,55.1,-105.28,23,17.22
328,Longyan,97,CN,1586195153,79,25.11,117.02,56.07,0.74
329,Laas,5,IT,1586195153,42,46.62,10.7,71.6,1.12
330,Dalianwan,2,CN,1586195154,66,39.03,121.69,48.2,4.47
331,Marsh Harbour,99,BS,1586195154,68,26.54,-77.06,71.8,13.18
332,Mananjary,92,MG,1586195029,81,-21.22,48.33,75.94,4.61
333,Bay-Khaak,37,RU,1586195155,67,51.17,94.5,29.12,3.76
334,Savelugu,78,GH,1586195155,20,9.62,-0.83,103.42,1.52
335,Nena,39,PH,1586195155,85,11.77,125.42,78.03,7.78
336,Paulo Afonso,20,BR,1586195155,46,-9.41,-38.21,91.4,5.82
337,Kiama,90,AU,1586195155,82,-34.68,150.87,62.01,5.82
338,Nokaneng,0,BW,1586195156,25,-19.67,22.27,77.05,2.71
339,Cabinda,96,AO,1586195156,86,-5.55,12.2,81.48,8.81
340,Pavino,21,RU,1586195156,92,59.11,46.14,26.44,6.91
341,Vao,99,NC,1586195098,78,-22.67,167.48,76.78,18.61
342,Raton,1,US,1586195157,15,36.9,-104.44,69.8,12.75
343,Rocky Mountain House,48,CA,1586195157,67,52.37,-114.92,29.03,3.38
344,Loikaw,0,MM,1586195157,35,19.67,97.21,69.12,3.38
345,Chara,55,RU,1586195158,81,56.91,118.26,17.26,2.8
346,Ismailia,56,EG,1586195149,64,30.6,32.27,63.63,14.43
347,Umluj,0,SA,1586195158,48,25.02,37.27,82.26,4.52
348,Kalmunai,87,LK,1586195158,76,7.42,81.82,81.14,3.11
349,Elizabeth City,1,US,1586194864,56,36.29,-76.25,75.2,3.36
350,Trelew,0,AR,1586195159,28,-43.25,-65.31,60.96,7.85
351,Inhambane,20,MZ,1586195159,88,-23.86,35.38,80.6,16.11
352,Hammerfest,98,NO,1586195159,74,70.66,23.68,28.4,19.46
353,Byron Bay,32,AU,1586195159,82,-28.65,153.62,69.01,8.05
354,Quryq,53,KZ,1586195160,55,43.2,51.65,45.45,27.2
355,Callaway,40,US,1586195160,64,30.15,-85.57,81,9.17
356,Hauterive,39,FR,1586195160,21,46.09,3.45,69.8,12.75
357,Katobu,72,ID,1586195160,88,-4.94,122.53,76.21,0.51
358,Plettenberg Bay,100,ZA,1586195161,74,-34.05,23.37,56.34,14.5
359,Kosonsoy,22,UZ,1586195161,67,41.26,71.55,60.8,6.93
360,Wittenberge,0,DE,1586195161,41,53,11.75,64.99,1.99
361,Garoowe,0,SO,1586195162,49,8.41,48.48,80.38,17.16
362,Paamiut,69,GL,1586195162,92,61.99,-49.67,24.22,5.79
363,Longkou,5,CN,1586195162,53,37.65,120.33,51.33,4.99
364,Sabzawār,0,IR,1586195162,39,36.21,57.68,57.16,0.74
365,La Rioja,75,ES,1586195163,87,42.25,-2.5,55.99,2.24
366,Rancharia,29,BR,1586195163,50,-22.23,-50.89,85.5,6.29
367,Mandan,1,US,1586195163,81,46.83,-100.89,52,4.7
368,Waipawa,100,NZ,1586195164,82,-41.41,175.52,59,17.22
369,Tessalit,0,ML,1586195164,9,20.2,1.01,91.02,10.89
370,Ende,41,ID,1586195164,73,-8.84,121.66,82.4,1.34
371,Astoria,90,US,1586195102,81,46.19,-123.83,51.01,3.36
372,Salalah,0,OM,1586195165,83,17.02,54.09,82.4,3.36
373,Aksu,27,CN,1586195165,21,41.12,80.26,59.34,4.54
374,Pemberton,20,CA,1586195165,55,50.32,-122.8,37.4,3.42
375,Nuuk,40,GL,1586195165,54,64.18,-51.72,28.4,5.82
376,Pacific Grove,90,US,1586195165,81,36.62,-121.92,50,8.05
377,Bafoulabé,0,ML,1586195166,6,13.81,-10.83,109.58,4.5
378,Nanortalik,7,GL,1586195166,87,60.14,-45.24,28.92,25.61
